City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,yanam,16.7333,82.2167,22.8,85,40,2.62,IN,1735258524
305,igrim,63.1906,64.4162,-10.33,95,73,2.51,RU,1735258525
306,vila franca do campo,37.7167,-25.4333,18.27,99,89,2.9,PT,1735258528
307,tofol,5.3248,163.0078,25.88,94,100,6.69,FM,1735258530
308,bara,10.3744,10.7288,18.1,20,44,3.36,NG,1735258531
309,sittwe,20.15,92.9,20.95,53,10,3.49,MM,1735258532
310,turpan,42.9333,89.1667,-9.44,65,0,0.6,CN,1735258534
311,burang,30.25,81.1667,-7.36,39,100,2.26,CN,1735258535
312,kargopol',61.5071,38.9456,1.8,89,99,4.31,RU,1735258536
313,turbiv,49.3479,28.7212,0.94,79,100,4.64,UA,1735258537
314,port arthur,38.8,121.2667,-3.88,50,62,3.8,CN,1735258538
315,galeana,24.8333,-100.0667,13.85,49,0,0.7,MX,1735258540
316,ugoofaaru,5.6667,73.0,26.81,68,33,3.18,MV,1735258541
317,tolanaro,-25.0319,46.9987,23.98,90,41,4.6,MG,1735258405
318,porto novo,6.4965,2.6036,25.45,88,17,2.36,BJ,1735258543
319,alotau,-10.3069,150.4462,31.64,58,74,0.86,PG,1735258544
320,bor,56.3567,44.0669,-1.04,94,100,6.23,RU,1735258545
321,sinabang,2.4803,96.3801,26.33,82,100,1.93,ID,1735258546
322,sofifi,0.7349,127.576,27.54,79,100,1.03,ID,1735258549
323,binzhou,37.3667,118.0167,-2.36,34,100,1.96,CN,1735258550
324,bemidji,47.4736,-94.8803,1.14,100,100,3.6,US,1735258551
325,dordrecht,51.81,4.6736,4.99,97,100,1.34,NL,1735258552
326,ponta delgada,37.7333,-25.6667,18.44,88,20,1.54,PT,1735258553
327,mili,6.0815,171.735,27.34,85,96,8.38,MH,1735258555
328,lubuklinggau,-3.3,102.8667,22.6,93,100,0.53,ID,1735258335
329,eyl,7.9803,49.8164,22.72,80,62,8.38,SO,1735258557
330,marsh harbour,26.5412,-77.0636,23.11,75,97,6.19,BS,1735258436
331,port macquarie,-31.4333,152.9167,26.71,78,14,2.68,AU,1735258559
332,sitka,57.0531,-135.33,6.94,76,75,2.06,US,1735258508
333,la ronge,55.1001,-105.2842,-1.86,69,30,1.54,CA,1735258561
334,sola,-13.8833,167.55,27.37,83,100,1.03,VU,1735258563
335,vallenar,-28.5708,-70.7581,18.66,49,0,2.56,CL,1735258564
336,ulladulla,-35.35,150.4667,29.03,48,100,5.06,AU,1735258565
337,odacho-oda,35.1833,132.5,5.85,64,100,9.22,JP,1735258566
338,labrador city,52.9463,-66.9114,-9.05,86,75,4.92,CA,1735258567
339,mchinji,-13.7984,32.8802,19.18,79,96,1.72,MW,1735258568
340,selfoss,63.9331,-20.9971,3.91,93,100,14.51,IS,1735258569
341,conil de la frontera,36.2772,-6.0885,14.48,76,12,11.3,ES,1735258571
342,neryungri,56.6709,124.6491,-19.82,97,100,2.18,RU,1735258572
343,antonio enes,-16.2325,39.9086,25.5,85,80,1.92,MZ,1735258573
344,sanctuary point,-35.1114,150.629,30.71,45,100,3.19,AU,1735258575
345,geneina,13.45,22.45,18.45,19,59,3.68,SD,1735258576
346,mozhaysk,55.5019,36.0272,1.19,100,100,2.96,RU,1735258578
347,wanxian,30.8039,108.3897,8.77,81,85,1.1,CN,1735258579
348,castillos,-34.1667,-53.8333,17.22,88,74,4.36,UY,1735258580
349,sompeta,18.9333,84.6,21.0,83,0,3.04,IN,1735258581
350,villa tecolutilla,18.2833,-93.3167,23.51,86,53,1.79,MX,1735258583
351,dunedin,-45.8742,170.5036,14.62,69,7,3.56,NZ,1735258584
352,sao francisco do sul,-26.2433,-48.6381,22.76,94,40,0.0,BR,1735258572
353,broome,42.2506,-75.833,-5.74,88,0,0.0,US,1735258587
354,caiaponia,-16.9567,-51.8103,20.26,98,100,1.31,BR,1735258588
355,zarghun shahr,32.8473,68.4457,-0.45,30,0,1.9,AF,1735258589
356,ojinaga,29.5667,-104.4167,19.53,20,0,1.54,MX,1735258590
357,lichinga,-13.3128,35.2406,20.05,77,0,2.06,MZ,1735258591
358,marktoberdorf,47.7833,10.6167,-3.97,34,19,1.03,DE,1735258593
359,lerwick,60.1545,-1.1494,7.56,85,100,7.43,GB,1735258594
360,emerald,-23.5333,148.1667,29.63,44,2,5.2,AU,1735258595
361,brookings,44.3114,-96.7984,2.32,99,100,5.14,US,1735258596
